target	feature_set	url	sha256_hash
aarch64-apple-darwin	coreml	https://cdn.pyke.io/0/pyke:ort-rs/ms@1.30.0/aarch64-apple-darwin+coreml.tar.lzma2	6fa7c0190bcbfae3d49c05416375e820363268ee1d4d0469a777bbbe2f419968
aarch64-apple-darwin	coreml,webgpu	https://cdn.pyke.io/0/pyke:ort-rs/ms@1.30.0/aarch64-apple-darwin+coreml,webgpu.tar.lzma2	96e9d9311ab233e2be9b98cf97932ab2ee8bde7dd555d0e4b3b76988af26f50b
aarch64-apple-ios	coreml	https://cdn.pyke.io/0/pyke:ort-rs/ms@1.30.0/aarch64-apple-ios+coreml.tar.lzma2	8949ea3dc5316520d8080dc811dd28ce1ca84395f8d75b331f14db5c6b3d2587
aarch64-apple-ios-sim	coreml	https://cdn.pyke.io/0/pyke:ort-rs/ms@1.30.0/aarch64-apple-ios-sim+coreml.tar.lzma2	91ec64c42878a7780b68a5d0bd947042dd04af20296b63150ddfccbdeb1e7f14
aarch64-linux-android	nnapi	https://cdn.pyke.io/0/pyke:ort-rs/ms@1.30.0/aarch64-linux-android+nnapi.tar.lzma2	61bafb5982ff26c5f7a558c649f88daf533418202508cce9b1665909f5e84d2e
aarch64-pc-windows-msvc	directml	https://cdn.pyke.io/0/pyke:ort-rs/ms@1.30.0/aarch64-pc-windows-msvc+directml.tar.lzma2	e43479532167b559933c5afae3bda5f9d078bfdbb439e8092ba60564e1ab7d11
aarch64-unknown-linux-gnu	none	https://cdn.pyke.io/0/pyke:ort-rs/ms@1.30.0/aarch64-unknown-linux-gnu.tar.lzma2	d4c13aa290bf7ee63168e220512f75eaaa6fd3570164fe4cb53c9263ca93dcfa
x86_64-linux-android	nnapi	https://cdn.pyke.io/0/pyke:ort-rs/ms@1.30.0/x86_64-linux-android+nnapi.tar.lzma2	59c3d6908836e3c61eeab921a669a2a11a00c5d1011bb2bd000549508aac1932
x86_64-pc-windows-msvc	directml	https://cdn.pyke.io/0/pyke:ort-rs/ms@1.30.0/x86_64-pc-windows-msvc+directml.tar.lzma2	6f94ec42211869502b8ddb9d1f95c39ed130d01860d73abe6facde5243b91108
x86_64-pc-windows-msvc	webgpu	https://cdn.pyke.io/0/pyke:ort-rs/ms@1.30.0/x86_64-pc-windows-msvc+webgpu.tar.lzma2	9254d83ee60d753e4ad349ab3ab3f525eedba4a1f7b61f0d9e23bb1a0ca90a51
x86_64-pc-windows-msvc	nvrtx,directml	https://cdn.pyke.io/0/pyke:ort-rs/ms@1.30.0/x86_64-pc-windows-msvc+nvrtx,directml.tar.lzma2	4533803f1536a153d1be4d2f9c387b3687c78b58a2e28a00107325a60e094405
x86_64-pc-windows-msvc	cuda13,tensorrt,nvrtx,directml	https://cdn.pyke.io/0/pyke:ort-rs/ms@1.30.0/x86_64-pc-windows-msvc+cuda13,tensorrt,nvrtx,directml.tar.lzma2	be7bdbe94eb44d0f1cceaff66d972c4e00ac6c2225b949c79d05c9adbf534e3f
x86_64-unknown-linux-gnu	none	https://cdn.pyke.io/0/pyke:ort-rs/ms@1.30.0/x86_64-unknown-linux-gnu.tar.lzma2	47d8fe621bb190f0c689358d1050a8731d834d4fc7a794dbbc25090f9630e584
x86_64-unknown-linux-gnu	nvrtx	https://cdn.pyke.io/0/pyke:ort-rs/ms@1.30.0/x86_64-unknown-linux-gnu+nvrtx.tar.lzma2	7085e595faef61e5d6c995971f1676d63506f74aad60ac74eeeb20c2927cc984
x86_64-unknown-linux-gnu	webgpu	https://cdn.pyke.io/0/pyke:ort-rs/ms@1.30.0/x86_64-unknown-linux-gnu+webgpu.tar.lzma2	f0fa95488dc143d10fcc473d3c6d0feff8416656842b7baa9f03189fd3f00579
x86_64-unknown-linux-gnu	cuda13,tensorrt,nvrtx	https://cdn.pyke.io/0/pyke:ort-rs/ms@1.30.0/x86_64-unknown-linux-gnu+cuda13,tensorrt,nvrtx.tar.lzma2	c2919cd038cfdfbef269036a26c8f9323cf263757f28ddccaa43ce737e07602d
